,year,crop_name,county,harvested_acres,production,yield,key_crop_name
551,2014,CORN GRAIN,Sutter,11300.0,69200.0,6.12,Corn
552,2014,CORN GRAIN,Tehama,882.0,4940.0,5.6,Corn
553,2014,CORN GRAIN,Tulare,947.0,4920.0,5.2,Corn
554,2014,CORN GRAIN,Yolo,6920.0,38000.0,5.49,Corn
555,2014,CORN GRAIN,Sum of Others,3535.0,16391.0,4.64,Corn
557,2014,CORN SILAGE,Fresno,28100.0,649000.0,23.1,Corn
558,2014,CORN SILAGE,Glenn,2120.0,57200.0,26.98,Corn
559,2014,CORN SILAGE,Kings,51100.0,1309000.0,25.62,Corn
560,2014,CORN SILAGE,Madera,18300.0,473000.0,25.85,Corn
561,2014,CORN SILAGE,Merced,100000.0,2712000.0,27.12,Corn
562,2014,CORN SILAGE,Riverside,2390.0,74400.0,31.13,Corn
563,2014,CORN SILAGE,Sacramento,6880.0,176000.0,25.58,Corn
564,2014,CORN SILAGE,San Joaquin,50200.0,1367000.0,27.23,Corn
565,2014,CORN SILAGE,Sonoma,60.0,1500.0,25.0,Corn
566,2014,CORN SILAGE,Stanislaus,90900.0,2487000.0,27.36,Corn
567,2014,CORN SILAGE,Tulare,117000.0,2948000.0,25.2,Corn
568,2014,CORN SILAGE,Sum of Others,4255.0,136400.0,32.06,Corn
570,2014,CORN SWEET ALL,Contra Costa,3260.0,34100.0,10.46,Corn
571,2014,CORN SWEET ALL,Fresno,5080.0,47500.0,9.35,Corn
572,2014,CORN SWEET ALL,Imperial,6640.0,36500.0,5.5,Corn
573,2014,CORN SWEET ALL,Los Angeles,134.0,249.0,1.86,Corn
574,2014,CORN SWEET ALL,Riverside,1260.0,11300.0,8.97,Corn
575,2014,CORN SWEET ALL,San Joaquin,2170.0,16300.0,7.51,Corn
576,2014,CORN SWEET ALL,Santa Clara,1550.0,17800.0,11.48,Corn
577,2014,CORN SWEET ALL,Tulare,68.0,340.0,5.0,Corn
578,2014,CORN SWEET ALL,Ventura,444.0,3290.0,7.41,Corn
579,2014,CORN SWEET ALL,Sum of Others,38.0,210.0,5.53,Corn
581,2014,COTTON LINT PIMA,Fresno,40400.0,32500.0,0.8,Cotton
582,2014,COTTON LINT PIMA,Kern,30300.0,24800.0,0.82,Cotton
583,2014,COTTON LINT PIMA,Kings,68400.0,52800.0,0.77,Cotton
585,2014,COTTON LINT UNSPECIFIED,Merced,36100.0,30800.0,0.85,Cotton
586,2014,COTTON LINT UNSPECIFIED,Tulare,14000.0,8980.0,0.64,Cotton
587,2014,COTTON LINT UNSPECIFIED,Sum of Others,485.0,378.0,0.78,Cotton
589,2014,COTTON LINT UPLAND,Fresno,7320.0,5330.0,0.73,Cotton
590,2014,COTTON LINT UPLAND,Glenn,1830.0,1600.0,0.87,Cotton
591,2014,COTTON LINT UPLAND,Imperial,2460.0,2860.0,1.16,Cotton
592,2014,COTTON LINT UPLAND,Kern,4180.0,3930.0,0.94,Cotton
593,2014,COTTON LINT UPLAND,Kings,6710.0,5930.0,0.88,Cotton
594,2014,COTTON LINT UPLAND,Madera,740.0,689.0,0.93,Cotton
595,2014,COTTON LINT UPLAND,Riverside,9040.0,9850.0,1.09,Cotton
597,2014,COTTON SEED PLANTING,Kern,151.0,180.0,1.19,Cotton
598,2014,COTTON SEED PLANTING,Tulare,2100.0,2180.0,1.04,Cotton
609,2014,COTTONSEED,Sum of Others,1190.0,1362.0,1.14,Cotton
611,2014,CUCUMBERS,Orange,39.0,944.0,24.21,Cucumbers
612,2014,CUCUMBERS,San Bernardino,7.0,44.0,6.29,Cucumbers
613,2014,CUCUMBERS,San Diego,233.0,2800.0,12.02,Cucumbers
614,2014,CUCUMBERS,San Joaquin,2640.0,25900.0,9.81,Cucumbers
615,2014,CUCUMBERS,Tulare,71.0,178.0,2.51,Cucumbers
616,2014,CUCUMBERS,Ventura,59.0,3760.0,63.73,Cucumbers
617,2014,CUCUMBERS,Sum of Others,107.0,563.0,5.26,Cucumbers
619,2014,DATES,Imperial,2150.0,6920.0,3.22,No Match
620,2014,DATES,Riverside,7770.0,20600.0,2.65,No Match
621,2014,DATES,Sum of Others,38.0,170.0,4.47,No Match
625,2014,EGGPLANT ALL,Fresno,670.0,14000.0,20.9,Eggplants
626,2014,EGGPLANT ALL,Riverside,260.0,4540.0,17.46,Eggplants
627,2014,EGGPLANT ALL,San Bernardino,2.0,15.0,7.5,Eggplants
628,2014,EGGPLANT ALL,Sum of Others,42.0,158.0,3.76,Eggplants
651,2014,ENDIVE ALL,Monterey,250.0,5480.0,21.92,No Match
652,2014,ENDIVE ALL,Sum of Others,238.0,2230.0,9.37,No Match
654,2014,ESCAROLE ALL,Monterey,210.0,4600.0,21.9,No Match
661,2014,FIELD CROPS SEED MISC.,Kern,470.0,390.0,0.83,No Match
664,2014,FIELD CROPS SEED MISC.,Monterey,998.0,888.0,0.89,No Match
673,2014,FIELD CROPS SEED MISC.,Sum of Others,145.0,145.0,1.0,No Match
687,2014,FIELD CROPS UNSPECIFIED,Monterey,1200.0,1850.0,1.54,No Match
689,2014,FIELD CROPS UNSPECIFIED,Riverside,527.0,740.0,1.4,No Match
692,2014,FIELD CROPS UNSPECIFIED,San Bernardino,3100.0,76400.0,24.65,No Match
700,2014,FIELD CROPS UNSPECIFIED,Siskiyou,4250.0,10600.0,2.49,No Match
707,2014,FIELD CROPS UNSPECIFIED,Sum of Others,6871.0,12415.0,1.81,No Match
709,2014,FIGS DRIED,Madera,5600.0,9690.0,1.73,No Match
710,2014,FIGS DRIED,Merced,619.0,619.0,1.0,No Match
711,2014,FIGS DRIED,Sum of Others,1612.0,3100.0,1.92,No Match
751,2014,FLOWERS DECORATIVE DRIED,Sum of Others,11.0,182.0,16.55,No Match
809,2014,FRUITS & NUTS UNSPECIFIED,Monterey,153.0,884.0,5.78,No Match
814,2014,FRUITS & NUTS UNSPECIFIED,Riverside,608.0,5410.0,8.9,No Match
817,2014,FRUITS & NUTS UNSPECIFIED,San Bernardino,125.0,8290.0,66.32,No Match
836,2014,FRUITS & NUTS UNSPECIFIED,Sum of Others,1476.0,3157.0,2.14,No Match
841,2014,GARLIC ALL,Fresno,18800.0,157000.0,8.35,Garlic
842,2014,GARLIC ALL,Kern,3610.0,29600.0,8.2,Garlic
